age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
25-29,Male,Australia,Masters,Other,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",intermediate,< 1 years
25-29,Male,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",advance,1-2 years
50-54,Female,Japan,Bachelors,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"5,000-7,499",advance,3-5 years
25-29,Male,Switzerland,Bachelors,Student,,,,basic,3-5 years
30-34,Male,United States of America,Bachelors,Data Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,5-10 years
25-29,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,1-2 years
18-21,Female,United States of America,Masters,Student,,,,advance,3-5 years
25-29,Male,United States of America,Masters,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",basic,5-10 years
30-34,Male,Indonesia,Masters,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"15,000-19,999",intermediate,I have never written code
18-21,Male,Indonesia,Bachelors,Student,,,,advance,< 1 years
60-69,Male,United States of America,Doctoral,Other,0-49 employees,I do not know,$0-999,advance,20+ years
35-39,Male,United States of America,Bachelors,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,10-20 years
40-44,Male,Canada,Bachelors,Data Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",basic,< 1 years
35-39,Male,Israel,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999",advance,10-20 years
35-39,Male,United States of America,Bachelors,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,3-5 years
45-49,Male,Japan,Masters,Product/Project Manager,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"5,000-7,499",advance,3-5 years
45-49,Male,South Korea,Coursework,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",basic,1-2 years
22-24,Male,Nigeria,Masters,Student,,,,advance,< 1 years
22-24,Male,Brazil,Bachelors,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,1-2 years
22-24,Male,Nigeria,Bachelors,Student,,,,advance,< 1 years
18-21,Male,India,Coursework,Student,,,,basic,1-2 years
50-54,Male,Canada,Doctoral,Product/Project Manager,250-999 employees,No (we do not use ML methods),"80,000-89,999",basic,5-10 years
18-21,Female,United States of America,Masters,Student,,,,basic,1-2 years
45-49,Male,Japan,Doctoral,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,10-20 years
22-24,Male,India,Bachelors,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",basic,I have never written code
40-44,Other,Australia,Bachelors,Product/Project Manager,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years
35-39,Male,Mexico,Masters,Other,0-49 employees,No (we do not use ML methods),"25,000-29,999",basic,I have never written code
22-24,Male,Denmark,Masters,Other,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",intermediate,3-5 years
30-34,Male,Brazil,Doctoral,Research Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,3-5 years
18-21,Male,India,Coursework,Student,,,,advance,1-2 years
22-24,Female,United States of America,Masters,Student,,,,advance,3-5 years
35-39,Male,Brazil,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",advance,3-5 years
25-29,Male,Canada,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,5-10 years
30-34,Male,Canada,Bachelors,Student,,,,advance,3-5 years
45-49,Male,United States of America,Doctoral,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",basic,3-5 years
45-49,Female,Russia,Coursework,Other,0-49 employees,No (we do not use ML methods),$0-999,basic,I have never written code
35-39,Male,United States of America,Masters,Student,,,,advance,10-20 years
25-29,Male,Nigeria,Bachelors,Software Engineer,0-49 employees,I do not know,$0-999,basic,1-2 years
22-24,Female,Colombia,Coursework,Student,,,,basic,< 1 years
45-49,Male,Viet Nam,Masters,Research Scientist,0-49 employees,No (we do not use ML methods),"5,000-7,499",basic,< 1 years
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",advance,5-10 years
25-29,Female,Saudi Arabia,Masters,Statistician,"1000-9,999 employees",No (we do not use ML methods),"40,000-49,999",basic,1-2 years
35-39,Female,United States of America,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,5-10 years
25-29,Male,China,Doctoral,Student,,,,basic,1-2 years
18-21,Female,India,Bachelors,Student,,,,advance,1-2 years
22-24,Female,Indonesia,Coursework,Statistician,"> 10,000 employees",No (we do not use ML methods),"5,000-7,499",advance,3-5 years
25-29,Male,Japan,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,1-2 years
22-24,Male,Brazil,Bachelors,Student,,,,intermediate,I have never written code
25-29,Male,Republic of Korea,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,1-2 years
30-34,Male,Japan,Masters,Other,"1000-9,999 employees",I do not know,"70,000-79,999",basic,< 1 years
45-49,Male,United States of America,Bachelors,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,20+ years
18-21,Male,India,Masters,Student,,,,advance,1-2 years
55-59,Male,United States of America,Masters,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",basic,I have never written code
30-34,Female,Egypt,Masters,Other,0-49 employees,No (we do not use ML methods),$0-999,basic,3-5 years
30-34,Male,United States of America,Masters,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",intermediate,3-5 years
25-29,Male,United States of America,Doctoral,Research Scientist,0-49 employees,No (we do not use ML methods),"90,000-99,999",basic,< 1 years
35-39,Male,Viet Nam,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",intermediate,5-10 years
35-39,Female,United States of America,Masters,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,< 1 years
25-29,Male,United States of America,Masters,Other,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,1-2 years
70+,Male,United States of America,Masters,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,20+ years
45-49,Male,Japan,Bachelors,Software Engineer,250-999 employees,No (we do not use ML methods),$0-999,basic,I have never written code
25-29,Male,Tunisia,Masters,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,1-2 years
25-29,Male,South Korea,Coursework,Student,,,,basic,< 1 years
35-39,Male,Hong Kong (S.A.R.),Masters,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,3-5 years
30-34,Male,Japan,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,1-2 years
40-44,Male,South Korea,Coursework,Software Engineer,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,I have never written code
50-54,Male,Brazil,Bachelors,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,20+ years
30-34,Male,Taiwan,Coursework,Student,,,,basic,1-2 years
55-59,Male,Chile,Doctoral,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",intermediate,5-10 years
50-54,Male,Japan,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"40,000-49,999",advance,< 1 years
45-49,Female,United States of America,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,1-2 years
22-24,Male,Bangladesh,Bachelors,Data Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,3-5 years
45-49,Male,Republic of Korea,Masters,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,20+ years
55-59,Male,Brazil,Doctoral,Other,0-49 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,3-5 years
25-29,Male,Philippines,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,5-10 years
18-21,Male,India,Coursework,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,intermediate,< 1 years
35-39,Male,Republic of Korea,Masters,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,5-10 years
35-39,Male,Colombia,Coursework,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,< 1 years
22-24,Male,Malaysia,Bachelors,Student,,,,advance,< 1 years
55-59,Male,United States of America,Masters,Student,,,,basic,20+ years
30-34,Male,United States of America,Masters,Data Analyst,"1000-9,999 employees",I do not know,"125,000-149,999",intermediate,1-2 years
22-24,Male,Brazil,Coursework,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",basic,< 1 years
40-44,Male,Australia,Doctoral,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,5-10 years
22-24,Male,Brazil,Bachelors,Student,,,,advance,< 1 years
60-69,Male,Japan,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",basic,20+ years
22-24,Male,Peru,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,basic,< 1 years
40-44,Male,Brazil,Doctoral,Research Scientist,250-999 employees,No (we do not use ML methods),"40,000-49,999",advance,1-2 years
55-59,Male,Mexico,Masters,Other,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,< 1 years
45-49,Female,United States of America,Masters,Student,,,,advance,1-2 years
25-29,Male,United States of America,Masters,Software Engineer,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,3-5 years
50-54,Male,Japan,Doctoral,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,< 1 years
30-34,Male,South Korea,Coursework,Software Engineer,0-49 employees,I do not know,"4,000-4,999",basic,1-2 years
25-29,Male,United States of America,Masters,Student,,,,advance,1-2 years
40-44,Male,China,Coursework,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",intermediate,1-2 years
18-21,Male,Other,Bachelors,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,< 1 years
22-24,Female,India,Bachelors,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),"1,000-1,999",intermediate,3-5 years
25-29,Female,Canada,Masters,Student,,,,basic,I have never written code
25-29,Female,Germany,Bachelors,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,< 1 years
18-21,Male,Canada,Bachelors,Software Engineer,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",advance,1-2 years
60-69,Male,United States of America,Coursework,Software Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",advance,3-5 years
22-24,Male,India,Bachelors,Software Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"3,000-3,999",intermediate,< 1 years
25-29,Male,Australia,Doctoral,Student,,,,advance,3-5 years
45-49,Female,United States of America,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,10-20 years
60-69,Male,United States of America,Bachelors,Student,,,,basic,20+ years
35-39,Other,Japan,Bachelors,Software Engineer,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"90,000-99,999",advance,< 1 years
60-69,Male,Japan,Coursework,Software Engineer,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",basic,< 1 years
25-29,Male,Nigeria,Doctoral,Other,50-249 employees,No (we do not use ML methods),"5,000-7,499",intermediate,< 1 years
22-24,Female,Viet Nam,Masters,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",intermediate,< 1 years
25-29,Other,China,Masters,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",advance,1-2 years
35-39,Male,Philippines,Bachelors,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"1,000-1,999",basic,5-10 years
18-21,Female,India,Bachelors,Student,,,,basic,3-5 years
25-29,Male,Japan,Masters,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,3-5 years
18-21,Male,China,Masters,Student,,,,advance,< 1 years
25-29,Male,India,Masters,Student,,,,intermediate,< 1 years
25-29,Male,South Korea,Bachelors,Software Engineer,50-249 employees,No (we do not use ML methods),"2,000-2,999",intermediate,< 1 years
40-44,Male,Taiwan,Bachelors,Research Scientist,0-49 employees,No (we do not use ML methods),"1,000-1,999",advance,1-2 years
30-34,Female,United States of America,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,10-20 years
40-44,Female,United States of America,Bachelors,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,1-2 years
25-29,Male,Colombia,Bachelors,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,3-5 years
18-21,Male,China,Coursework,Student,,,,advance,< 1 years
45-49,Male,United States of America,Masters,Product/Project Manager,250-999 employees,No (we do not use ML methods),"100,000-124,999",intermediate,< 1 years
55-59,Female,United States of America,Doctoral,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,5-10 years
30-34,Male,India,Coursework,Product/Project Manager,50-249 employees,I do not know,$0-999,basic,I have never written code
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
45-49,Male,South Korea,Coursework,Software Engineer,50-249 employees,No (we do not use ML methods),"100,000-124,999",basic,I have never written code
30-34,Female,India,Masters,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,< 1 years
25-29,Male,United States of America,Bachelors,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",intermediate,3-5 years
22-24,Female,United States of America,Bachelors,Student,,,,advance,1-2 years
25-29,Female,Malaysia,Bachelors,Product/Project Manager,50-249 employees,No (we do not use ML methods),"40,000-49,999",basic,< 1 years
35-39,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Software Engineer,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",intermediate,3-5 years
35-39,Female,India,Doctoral,Research Scientist,50-249 employees,No (we do not use ML methods),"200,000-249,999",basic,3-5 years
35-39,Male,United States of America,Masters,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",intermediate,1-2 years
30-34,Male,Canada,Masters,Business Analyst,"> 10,000 employees",No (we do not use ML methods),"50,000-59,999",basic,1-2 years
25-29,Male,Brazil,Bachelors,Business Analyst,"1000-9,999 employees",No (we do not use ML methods),"5,000-7,499",intermediate,1-2 years
30-34,Male,Japan,Doctoral,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","300,000-500,000",advance,5-10 years
25-29,Male,Colombia,Masters,Other,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years
18-21,Female,India,Bachelors,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",intermediate,I have never written code
25-29,Male,Brazil,Coursework,Student,,,,advance,I have never written code
30-34,Male,United States of America,Masters,Product/Project Manager,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,3-5 years
25-29,Male,Hong Kong (S.A.R.),Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,5-10 years
25-29,Male,Japan,Masters,Software Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",basic,1-2 years
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
50-54,Male,Australia,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",intermediate,20+ years
25-29,Male,United States of America,Masters,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",intermediate,5-10 years
18-21,Male,India,Bachelors,Student,,,,advance,1-2 years
40-44,Male,United States of America,Doctoral,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",basic,10-20 years
30-34,Male,India,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,5-10 years
18-21,Female,India,Bachelors,Student,,,,advance,< 1 years
35-39,Male,Viet Nam,Doctoral,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,5-10 years
25-29,Male,Canada,Masters,Student,,,,advance,< 1 years
22-24,Male,Nigeria,Masters,Student,,,,basic,1-2 years
45-49,Male,South Korea,Masters,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",intermediate,1-2 years
40-44,Male,China,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years
30-34,Male,Colombia,Doctoral,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,5-10 years
25-29,Male,Russia,Masters,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,3-5 years
50-54,Male,Singapore,Coursework,Software Engineer,"1000-9,999 employees",I do not know,"80,000-89,999",intermediate,10-20 years
30-34,Male,India,Masters,Statistician,"> 10,000 employees",No (we do not use ML methods),"20,000-24,999",basic,< 1 years
60-69,Male,Mexico,Bachelors,Data Engineer,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years
45-49,Male,Taiwan,Masters,Product/Project Manager,50-249 employees,No (we do not use ML methods),"20,000-24,999",basic,10-20 years
60-69,Male,United States of America,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,20+ years
25-29,Female,Malaysia,Bachelors,Business Analyst,50-249 employees,No (we do not use ML methods),$0-999,basic,I have never written code
30-34,Male,Brazil,Doctoral,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,1-2 years
25-29,Male,Japan,Masters,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",basic,I have never written code
18-21,Female,India,Bachelors,Student,,,,advance,< 1 years
22-24,Male,United States of America,Masters,Data Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,1-2 years
25-29,Male,India,Coursework,Data Analyst,50-249 employees,No (we do not use ML methods),$0-999,intermediate,1-2 years
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
50-54,Male,Indonesia,Masters,Research Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"2,000-2,999",advance,3-5 years
25-29,Male,India,Masters,Business Analyst,"1000-9,999 employees",I do not know,"10,000-14,999",basic,1-2 years
40-44,Male,Brazil,Doctoral,Data Engineer,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",basic,10-20 years
22-24,Male,Peru,Bachelors,Data Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,basic,< 1 years
25-29,Male,China,Doctoral,Research Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,5-10 years
25-29,Male,Viet Nam,Coursework,Other,"1000-9,999 employees",I do not know,"5,000-7,499",advance,< 1 years
50-54,Female,Canada,Masters,Data Analyst,0-49 employees,I do not know,$0-999,intermediate,< 1 years
18-21,Male,India,Bachelors,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",advance,1-2 years
25-29,Male,India,Bachelors,Software Engineer,"1000-9,999 employees",I do not know,"7,500-9,999",basic,3-5 years
18-21,Female,India,Bachelors,Student,,,,advance,1-2 years
22-24,Male,China,Masters,Student,,,,basic,< 1 years
30-34,Male,Taiwan,Doctoral,Student,,,,basic,I have never written code
30-34,Male,Republic of Korea,Coursework,Software Engineer,0-49 employees,No (we do not use ML methods),"25,000-29,999",basic,< 1 years
35-39,Male,Japan,Doctoral,Research Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,3-5 years
25-29,Male,Peru,Bachelors,Business Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"1,000-1,999",intermediate,3-5 years
22-24,Male,India,Bachelors,Student,,,,advance,< 1 years
25-29,Male,India,Coursework,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","1,000-1,999",intermediate,3-5 years
25-29,Male,Mexico,Bachelors,Other,0-49 employees,No (we do not use ML methods),"5,000-7,499",basic,< 1 years
50-54,Male,India,Coursework,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,1-2 years
60-69,Male,Argentina,Masters,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
30-34,Male,Indonesia,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,basic,< 1 years
30-34,Male,United States of America,Masters,Student,,,,advance,1-2 years
30-34,Male,United States of America,Masters,Data Analyst,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,5-10 years
35-39,Male,Japan,Coursework,Other,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",intermediate,5-10 years
25-29,Male,India,Bachelors,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,3-5 years
40-44,Male,Brazil,Bachelors,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"25,000-29,999",advance,1-2 years
25-29,Male,India,Coursework,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,< 1 years
25-29,Male,Russia,Doctoral,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,5-10 years
18-21,Other,Belgium,Coursework,Student,,,,basic,I have never written code
18-21,Female,Singapore,Bachelors,Student,,,,advance,< 1 years
45-49,Male,India,Masters,Other,"> 10,000 employees",I do not know,"50,000-59,999",advance,1-2 years
50-54,Other,United States of America,Doctoral,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
25-29,Male,Indonesia,Masters,Other,50-249 employees,I do not know,"1,000-1,999",basic,I have never written code
22-24,Male,Colombia,Masters,Data Scientist,"1000-9,999 employees",No (we do not use ML methods),"50,000-59,999",advance,3-5 years
22-24,Male,Other,Coursework,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",advance,1-2 years
22-24,Male,United States of America,Bachelors,Student,,,,advance,1-2 years
40-44,Male,United States of America,Bachelors,Software Engineer,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",intermediate,3-5 years
35-39,Male,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,5-10 years
55-59,Male,Canada,Coursework,Business Analyst,"1000-9,999 employees",I do not know,"70,000-79,999",basic,5-10 years
25-29,Male,United States of America,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years
45-49,Female,United States of America,Doctoral,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,20+ years
40-44,Male,United States of America,Masters,Other,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",advance,3-5 years
55-59,Male,Brazil,Masters,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","300,000-500,000",intermediate,1-2 years
22-24,Male,China,Bachelors,Student,,,,intermediate,< 1 years
25-29,Male,Kenya,Bachelors,Data Scientist,"1000-9,999 employees",No (we do not use ML methods),$0-999,advance,< 1 years
25-29,Male,Japan,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,3-5 years
35-39,Female,Taiwan,Masters,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","300,000-500,000",advance,I have never written code
50-54,Male,Japan,Doctoral,Research Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",basic,20+ years
22-24,Male,India,Bachelors,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,< 1 years
18-21,Female,India,Bachelors,Student,,,,basic,< 1 years
30-34,Female,United States of America,Bachelors,Student,,,,basic,< 1 years
30-34,Male,Brazil,Masters,Data Scientist,0-49 employees,No (we do not use ML methods),"10,000-14,999",advance,1-2 years
18-21,Male,Brazil,Coursework,Student,,,,advance,< 1 years
35-39,Male,India,Masters,Product/Project Manager,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,5-10 years
50-54,Male,Taiwan,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",intermediate,10-20 years
35-39,Male,Taiwan,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"25,000-29,999",basic,10-20 years
30-34,Male,Brazil,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"2,000-2,999",advance,3-5 years
30-34,Male,India,Bachelors,Software Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,I have never written code
50-54,Male,Singapore,Coursework,Other,0-49 employees,No (we do not use ML methods),"40,000-49,999",basic,< 1 years
25-29,Male,Belarus,Bachelors,Student,,,,advance,3-5 years
50-54,Male,China,Masters,Student,,,,advance,10-20 years
50-54,Male,South Korea,Doctoral,Data Analyst,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,20+ years
45-49,Male,United States of America,Masters,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",intermediate,20+ years
35-39,Male,Taiwan,Coursework,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,3-5 years
22-24,Male,Taiwan,Masters,Student,,,,basic,< 1 years
25-29,Male,United States of America,Coursework,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
